,item_id,article_interactions
0,-9222795471790223670,26
1,-9216926795620865886,21
2,-9194572880052200111,29
3,-9192549002213406534,56
4,-9190737901804729417,9
5,-9189659052158407108,36
6,-9184137057748005562,1
7,-9176143510534135851,33
8,-9172673334835262304,1
9,-9171475473795142532,5
10,-9166778629773133902,5
11,-9161596996229760398,15
12,-9160910454530522563,37
13,-9157338616628196758,5
14,-9153494109165200346,2
15,-9152398073968262186,1
16,-9147114693160126293,8
17,-9137036168156595470,10
18,-9128741757954228992,45
19,-9128652074338368262,19
20,-9107331682787867601,8
21,-9105040345021932755,8
22,-9103776596534246502,1
23,-9102431381393428051,28
24,-9100490342054218852,2
25,-9099155556042679205,6
26,-9095002324981651252,5
27,-9092333155845304874,6
28,-9090514312860140897,27
29,-9089854794058353436,7
30,-9086955082453789880,33
31,-9083294960368598209,27
32,-9081753261356157170,9
33,-9080873096647717414,7
34,-9076501258717815738,16
35,-9073210245497295284,28
36,-9071883412530082330,12
37,-9064100704535292718,15
38,-9056114023474725450,14
39,-9055044275358686874,14
40,-9050450867630628092,17
41,-9045753673721269477,6
42,-9041823059579281174,7
43,-9041546321432974047,3
44,-9040419159428373932,1
45,-9039021554659316935,15
46,-9033346036688923648,2
47,-9033211547111606164,36
48,-9028990334396397584,35
49,-9020955625521881630,8
50,-9019582414165805420,92
51,-9019233957195913605,85
52,-9007594455502730692,2
53,-9002191823887486987,7
54,-8996656559398843485,6
55,-8992803137960175254,97
56,-8992201526199201450,52
57,-8984665034930053829,14
58,-8980834789053459155,1
59,-8971085667828564532,6
60,-8968101771604200516,17
61,-8964534883296838326,30
62,-8962700386317589038,12
63,-8954346068661072425,108
64,-8950763842769120954,51
65,-8949113594875411859,55
66,-8948234514303933700,39
67,-8947720860550700506,12
68,-8942026248671582808,8
69,-8939172344092554931,16
70,-8937070974333045193,12
71,-8935051432668167578,1
72,-8934199835393138432,13
73,-8933526098329881084,22
74,-8913397556833789413,17
75,-8909927294729358771,22
76,-8908991577172785311,26
77,-8900307211613973542,7
78,-8900113512825364282,33
79,-8885776096632729273,14
80,-8879983698341300928,5
81,-8876785823151614444,19
82,-8864073373672512525,9
83,-8863047175241170722,16
84,-8854146354650101086,32
85,-8819557474068526071,19
86,-8815620240581422908,19
87,-8813724423497152538,79
88,-8801071115335368509,7
89,-8800029253812071912,30
90,-8797444257711529901,21
91,-8796191278504623694,12
92,-8781597910014596432,6
93,-8773118241761372618,26
94,-8771338872124599367,63
95,-8763351865833452031,5
96,-8762137947059829459,7
97,-8757701761088346244,33
98,-8742648016180281673,175
99,-8739701156093513292,6
100,-8734181034726403477,26
101,-8728075196312712282,17
102,-8723568727518869245,13
103,-8723313435347324769,11
104,-8722526817358894474,8
105,-8717945432162716060,48
106,-8706427875719844202,19
107,-8704908797766843570,4
108,-8700857105739861338,16
109,-8689798332822398451,12
110,-8689461307495241608,3
111,-8686523832043452855,1
112,-8681175158863587641,4
113,-8680242653057858999,26
114,-8677396111092711799,10
115,-8669770849634489893,27
116,-8658069499367979499,13
117,-8657415528200615063,51
118,-8651474460024926245,4
119,-8641360668993633978,6
120,-8635809464649679621,1
121,-8632408281960398473,20
122,-8627051188605351707,107
123,-8618420761918493321,60
124,-8615957592921855596,15
125,-8615008595949058842,10
126,-8606063418076691067,33
127,-8591127493017117985,12
128,-8587352636561360574,14
129,-8582642829303844420,13
130,-8578355592291788601,1
131,-8535131855706279960,4
132,-8529522981244750831,18
133,-8526359231369823784,13
134,-8520302351158933500,3
135,-8518096793350810174,156
136,-8512859527034085078,6
137,-8512461968928613053,37
138,-8511291357261863413,74
139,-8510490754427841940,11
140,-8508606815368130888,30
141,-8508598439431879680,4
142,-8502883448980287228,2
143,-8497895589300643949,28
144,-8489944755890710748,3
145,-8480712303720557641,23
146,-8467102776052559275,36
147,-8464215556093549753,2
148,-8460222552900599049,5
149,-8449536481786923901,7
150,-8445686000003509032,1
151,-8427763028519233712,10
152,-8426084422061984285,4
153,-8418620743404378592,1
154,-8412113620940365599,25
155,-8404657131309965885,51
156,-8392586470872505716,26
157,-8391512412740651574,6
158,-8388400806941996172,1
159,-8381230866408697127,118
160,-8377626164558006982,53
161,-8370744479086515302,64
162,-8369610219380465981,32
163,-8368414190009234878,6
164,-8353590933060505654,3
165,-8349788035147634450,17
166,-8343581376353287618,2
167,-8340365043226490059,33
168,-8314629309720421219,57
169,-8312968399134741370,25
170,-8311338126170554747,7
171,-8287402887944984163,40
172,-8286289711960957081,1
173,-8282357075607822317,23
174,-8279505492976427918,45
175,-8278633353687754322,10
176,-8278375716950339547,10
177,-8277924497842156608,23
178,-8259953995965151136,8
179,-8258529658421542282,36
180,-8257579276626076787,9
181,-8254222281357012124,15
182,-8248141950199177506,16
183,-8245663037926520114,10
184,-8244000618837043328,14
185,-8243488279185272615,86
