consumer_id,total_interactions,unique_articles,unique_sessions
-1032019229384696495,1885,648,209
-1443636648652872475,1616,585,215
3609194402293569455,1435,961,232
-2626634673110551643,1084,669,104
-3596626804281480007,903,401,179
3302556033962996625,831,272,158
-709287718034731589,820,291,128
3636910968448833585,729,339,131
2416280733544962613,709,320,150
-2979881261169775358,679,437,179
-9016528795238256703,634,342,174
1895326251577378793,630,247,137
692689608292948411,539,346,137
-1578287561410088674,516,261,136
3829784524040647339,515,255,142
-108842214936804958,514,270,105
-1602833675167376798,501,206,87
1116121227607581999,493,366,135
-6944500707172804068,492,257,113
1623838599684589103,456,318,151
4313045637915476309,440,291,108
-3390049372067052505,439,212,82
-9009798162809551896,430,288,126
3891637997717104548,403,190,102
-5527145562136413747,389,140,105
6644119361202586331,376,185,91
-1479311724257856983,375,146,81
8698209668239173600,366,261,139
3938645257702379823,360,217,108
-8020832670974472349,355,208,115
-8550167523008133722,352,247,43
4209517478660372522,338,165,100
2901546026085255870,335,211,78
5127372011815639401,329,158,89
5660542693104786364,327,133,96
-1393866732742189886,326,159,90
801895594717772308,320,197,107
-2511855597392146401,311,209,95
7392990465409599343,298,184,97
7948079555216525045,297,186,108
-2901997243166418276,297,144,76
-4092545774372727680,295,124,97
-534549863526737439,281,160,82
-1616903969205976623,278,118,86
8676130229735483748,276,126,92
-8860671864164757449,275,166,92
8968131284214320024,261,109,71
7645894863578715801,257,86,58
-8845298781299428018,254,130,78
3375381077362025672,248,114,70
3217014177234377440,246,130,97
-2820994773540913369,245,111,75
4254153380739593270,241,180,95
-7267769888748948232,239,163,82
-5706287032724665714,239,177,98
-6067316262393890508,227,86,72
881856221521045800,225,101,77
2551221442168658664,224,135,83
-1387464358334758758,221,131,81
-3203894957285229214,218,118,87
-445337111692715325,217,168,93
-5230721907253934520,213,145,79
-1130272294246983140,213,112,74
-35428957105270993,212,88,75
1908339160857512799,210,103,79
5621833459783231486,208,152,95
7890134385692540512,207,94,64
6003902177042843076,205,103,58
4670267857749552625,202,73,57
-5868110530814399805,201,98,84
-2979537012405607453,199,104,70
4432373331608915019,197,81,38
1120069409160402054,195,121,66
-6786856227257648356,192,102,79
3094513233385472738,190,79,78
6464364285286199002,190,130,76
-1257176162426022931,185,84,48
-4028919343899978105,182,115,73
-4298177694576275482,181,91,56
1296936597887557880,178,143,72
2754566407772265068,178,90,83
-8399605302938582500,175,122,57
-8853658195208337106,174,114,76
3061273947166110301,174,76,65
6013226412048763966,170,26,43
9109075639526981934,169,73,70
22763587941636338,165,105,83
-3474152259371895547,165,111,53
-89388927330481219,164,117,61
3429602690322213789,162,79,51
-4585796377251906117,161,65,62
3106760029136205156,159,72,62
3743121668889758064,158,116,66
4227773676394505435,157,89,83
-1863544689523892600,157,87,72
3813842765808990208,155,64,46
-299809122140089170,154,94,74
8195788452563155020,154,71,44
-48161796606086482,153,65,46
-7540738139248278851,150,95,60
1493119272824026132,149,85,72
301435144665447655,149,92,69
5512723557838096173,149,101,58
670878778036881163,148,94,59
5030175185311671155,146,112,75
-3535274684588209118,145,63,58
-7990997793599977496,143,74,57
6756039155228175109,141,70,49
-331066625167168067,141,79,59
-1836083230511905974,141,82,56
-2623844842607044962,141,70,46
3915038251784681624,137,76,55
674947025087085832,137,73,44
6735372008307093370,137,51,53
7774613525190730745,136,63,42
-8781306637602263252,136,80,67
9210530975708218054,135,63,58
-4160173091318455989,134,90,54
1949009070102523745,133,112,64
2062670502532932588,132,76,45
-5380862725077089346,128,44,38
3576137684812235192,128,64,48
-7240735065448254654,128,57,50
-6627505417926774253,125,71,43
268671367195911338,124,30,45
-4125205337625989832,123,36,38
2279740393166882579,123,55,45
8766802480854827422,123,57,52
-4312494396888667550,122,93,65
7308881151087125462,121,74,58
2760160224512620259,121,95,62
9148269800512008413,120,51,35
-3500661007957156229,119,86,55
6971525809430309144,119,72,52
534764222466712491,118,26,32
-6316613156648676087,117,53,41
8239286975497580612,114,74,41
-6527231059484292598,113,79,57
-4465926797008424436,112,57,44
-7456488753754080246,112,72,45
2542290381109225938,112,45,41
4079953840379998293,110,51,23
-1684566741313744330,110,50,35
-1292787032977259947,109,64,46
-6946355789336786528,109,45,37
102305705598210278,109,39,38
-3954277405987282296,109,84,64
-8652741825481604192,108,32,56
-7136511247670430002,106,73,52
-3325685634318512394,106,65,45
2290322765105220968,104,69,44
1671960877913596679,104,32,35
3586672003786969120,104,62,47
-6153009241569363021,103,67,50
-7531858294361854119,103,39,25
6960073744377754728,101,48,39
-2726721797588771398,101,54,48
8164031568920151381,101,42,44
2062590537770243336,101,44,50
7696404421947461044,100,47,40
7781822014935525018,100,52,40
7527226129639571966,100,49,36
8237333675050684529,100,46,56
5598537709124463353,99,52,48
693665567872370395,98,63,39
-8606737560479590536,98,69,44
-1352064057049251194,98,83,56
2947963873628556360,97,39,51
-483468163475294331,97,58,47
7591088849912178995,97,53,48
7580644064067188685,97,45,29
-7496361692498935601,96,48,42
8420481937548705787,96,46,31
-1799631734242668035,95,38,44
-5867382161915898777,94,61,43
-5264754785175108362,94,54,42
8841741572929644986,93,47,48
-6878112296616605612,93,71,57
-3216836291203563246,92,70,58
-387586131996064525,91,45,43
3622641762376806537,91,38,39
6852303461450629547,91,25,54
-2525380383541287600,90,41,31
-8694104221113176052,90,34,31
1317292353478724560,90,43,32
8872819156169667456,90,49,40
-6532175987346600523,90,47,39
-6347007137547090068,89,63,33
-6730258785244938562,89,66,49
-1251984896177895077,88,47,40
-7487897518634781969,88,39,42
7293029244157928140,86,39,55
2966898457830124144,86,45,41
599868086167624974,86,67,41
3396828831632510915,84,40,36
-8674958742744576254,84,70,51
-588447608033313001,84,46,37
2002083152443772042,84,42,39
-6895155480127642372,83,49,42
8029287010580464803,83,42,40
1748162647671155552,83,50,35
983095443598229476,83,16,49
-9109785559521267180,83,43,38
8855523843512271162,82,53,36
-8243020848740766897,82,50,37
8414731042150985013,82,62,30
2833428826475063405,82,42,37
2217185536926141514,81,45,48
-9120685872592674274,81,24,20
6226325986476849014,81,61,42
4568163094592867577,81,49,42
-2050699458865052139,80,61,35
-4752363236131440693,80,37,32
7842090627885077038,79,42,34
-6030696784871381528,79,30,28
-6188912942004687815,78,60,39
5693632915986723060,77,21,52
-3458422503840091409,77,46,42
-3107690258526146180,76,33,34
2146546851324474301,76,32,32
1374824663945909617,76,28,30
6947583688031316012,76,57,44
-7041401352840181657,76,42,33
1766257854965201953,75,50,38
4417246933621591943,75,27,37
361614354650880527,73,34,33
-867171338823652769,73,45,41
1960539917229374622,73,46,29
627408625947732191,73,36,30
2944202749145946530,73,48,38
7022645187549453002,72,47,38
-5823562314929634489,72,34,27
-2785363955043455312,71,33,35
-4746388521877686441,70,31,30
3734911646343191965,70,36,36
-634318177541615985,70,45,44
434517017614495946,69,53,45
-8241940599580729220,69,39,37
-3374649409463162440,69,32,31
-6611967527589759673,69,34,29
-8036997159314605196,68,44,40
-3808141682397656195,68,17,41
-4627026983118548639,67,31,22
-5157376071499052964,67,36,15
-5708042355439521851,66,23,22
7131993520591621461,66,43,34
1202287501580555390,65,50,42
7845017617453570455,65,17,40
-4165818767652094649,65,27,19
-8830250090736356260,65,46,37
-3643155458357242906,64,28,32
-8763398617720485024,64,55,42
-8606085472606356565,64,27,29
4160581188559697212,64,50,38
-7606731662737258050,64,36,31
-8670749047273764903,64,32,32
8437083040455072898,63,14,24
-3196433790714486571,63,38,38
6018247344671480458,63,44,33
5497189205340943824,63,47,33
-292717837486008213,63,34,29
-9223121837663643404,63,43,41
-9001583565812478106,63,40,32
5327824330504712485,62,33,35
-5046509793031129706,62,40,34
-8132559109129514792,61,24,24
-5375964707198876331,61,36,36
-3230911339419872436,61,51,39
-492179582639058400,61,37,26
907221355688076938,61,27,23
-510621402112686165,61,45,32
-4384580909851654688,61,35,36
-2772844562500836582,61,38,28
-4246695160507476121,60,31,29
-2385757031765501802,60,25,30
7871236101796363710,60,31,27
908938729693125261,60,50,36
2682799999279860984,59,34,32
4531872167062142431,59,42,37
6525511498345160052,59,32,32
-6668715715951053690,59,26,34
-1380636509010496168,58,26,24
-4996398807012464468,58,28,9
8113324517692556322,58,38,23
5746645399823844475,57,24,25
-3359156065199608672,57,41,28
-5070718731712624222,57,48,40
816623031097334102,57,22,26
6571439471025671820,57,29,24
-2690891220216547125,56,40,29
-1367575386492755119,56,38,32
5683029675627635125,56,40,31
