feature_name,dtype,missing_count,unique_values
user_item_interactions,int64,0,38
user_item_strength,float64,0,50
user_item_avg_strength,float64,0,135
user_item_interaction_types,int64,0,5
user_item_sessions,int64,0,22
days_since_user_item_interaction,float64,0,40483
user_item_recency_score,float64,0,40483
has_seen_article,int64,0,1
user_total_interactions,int64,0,220
user_unique_articles,int64,0,157
user_unique_sessions,int64,0,116
user_total_strength,float64,0,253
user_avg_strength,float64,0,470
user_active_days,int64,0,114
user_content_commented_on_count,int64,0,30
user_content_followed_count,int64,0,25
user_content_liked_count,int64,0,54
user_content_saved_count,int64,0,35
user_content_watched_count,int64,0,194
user_content_commented_on_rate,float64,0,216
user_content_followed_rate,float64,0,211
user_content_liked_rate,float64,0,329
user_content_saved_rate,float64,0,253
user_content_watched_rate,float64,0,395
user_days_since_last_event,float64,0,1891
user_days_active_span,float64,0,1683
user_interactions_per_active_day,float64,0,458
user_articles_per_session,float64,0,395
user_device_share_Android - Native Mobile App,float64,0,234
user_device_share_Mozilla/5.0 (Android 6.0.1; Mobile; rv:47.0) Gecko/47.0 Firefox/47.0,float64,0,2
"user_device_share_Mozilla/5.0 (Linux; Android 4.4.2; ASUS_T00J Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36",float64,0,3
"user_device_share_Mozilla/5.0 (Linux; Android 4.4.2; ASUS_T00J Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",float64,0,3
"user_device_share_Mozilla/5.0 (Linux; Android 4.4.2; ASUS_T00J Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",float64,0,2
"user_device_share_Mozilla/5.0 (Linux; Android 4.4.2; GT-I9200 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36",float64,0,2
"user_device_share_Mozilla/5.0 (Linux; Android 4.4.2; GT-I9200 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",float64,0,2
