rank,article_id,article_title
1,-4029704725707465084,Former Google career coach shares a visual trick for figuring out what to do with your life
2,-2402288292108892893,Como testar exceções em Java com o JUnit - Code a Test
3,-14569272361926584,Java 8 Streams - A Deeper Approach About Performance Improvement
4,-8627051188605351707,When to make a Git Commit
5,-6872546942144599345,My experience with Google's Associate Android Developer Certification
6,-6728844082024523434,Seniority
7,3714350889740403446,Python - It's metaclasses all the way down
8,-5690023155612846030,O futuro das interfaces: Chatbots - Tableless
9,-5605799891597699962,Concrete things you can do about your technical debt
10,-2584174137395076448,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016"
